header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training),MaxSELabel,MinLabel
Datasets\Uci_imageseg.csv,0.125,0.363130315159366,0.875,0.880045351473923,1,0.877515423624794,0.933333333333333,10,0.00942057469707716,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.25448962040387,0.857142857142857,0.856235827664399,1,0.856689102321712,1,11,0.0151209739218133,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.286047843127884,0.857142857142857,0.867063492063492,0.888888888888889,0.862074634226533,0.941176470588235,12,0.0135759499361816,1,0
Datasets\Uci_imageseg.csv,0.125,0.828936723581206,0.875,0.878061224489796,0.875,0.876527939464494,0.875,13,0.0116661861062348,0,0
Datasets\Uci_imageseg.csv,0.125,0.382162294129276,0.875,0.88682745825603,1,0.880874029222061,1,14,0.00960891938939387,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.559757341299787,0.857142857142857,0.868480725623583,1,0.862774544771917,1,15,0.0122040872550505,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.295230073861011,0.839285714285714,0.849206349206349,0.888888888888889,0.844216887695149,0.941176470588235,16,0.0120654246533962,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.362893987546792,0.839285714285714,0.855555555555556,1,0.84734254273004,1,17,0.0115128749190725,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.422429381807231,0.839285714285714,0.849206349206349,1,0.844216887695149,0.933333333333333,18,0.0102620500668613,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,2.18558586488524,0.839285714285714,0.846825396825397,0.777777777777778,0.843038698181085,0.823529411764706,19,0.00970870932841483,0,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.904326103434748,0.839285714285714,0.844897959183673,0.875,0.842082485826806,0.875,20,0.00875319413658475,0,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.71430996400909,0.285714285714286,0.166666666666667,0,0.210526315789474,0,2,0.10204228361979,2,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.581193192283947,0.428571428571429,0.299145299145299,0.205128205128205,0.352348993288591,0.340425531914894,3,0.0819351327304639,1,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.436164440824654,0.571428571428571,0.449564772145417,0.258064516129032,0.503223957587047,0.41025641025641,4,0.0614658842336977,1,0
Datasets\Uci_imageseg.csv,0.285714285714286,0.343297421608053,0.714285714285714,0.536363636363636,0.8,0.612668743509865,0.888888888888889,5,0.0471226295064881,1,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.221828666455523,0.821428571428571,0.746031746031746,0.8,0.781916817359855,0.888888888888889,6,0.0272449226546907,1,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.161569913166305,0.892857142857143,0.897052154195011,1,0.894949732600965,1,7,0.0139984205649998,6,0
Datasets\Uci_imageseg.csv,0.125,0.199089434822531,0.875,0.878061224489796,1,0.876527939464494,1,8,0.0146767891681406,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.23794391007393,0.892857142857143,0.898964131106988,1,0.895900229887891,1,9,0.0159143544485808,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.292142992216289,0.857142857142857,0.865568954854669,1,0.861335299208308,1,10,0.0189834264754174,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.245353785467804,0.910714285714286,0.925324675324675,1,0.917961348995832,1,11,0.016332666841735,0,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.357875547553408,0.821428571428571,0.828061224489796,1,0.824731562900446,1,12,0.0178243914809072,2,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.896761395073119,0.839285714285714,0.836167800453515,0.888888888888889,0.837723856248641,0.941176470588235,13,0.0138033478592459,1,0
Datasets\Uci_imageseg.csv,0.125,0.411467549236325,0.875,0.893650793650794,1,0.884227058559569,1,14,0.0143234577520404,0,0
Datasets\Uci_imageseg.csv,0.125,16.2061210418908,0.875,0.882936507936508,0.888888888888889,0.878950338600451,0.941176470588235,15,0.0133872258665031,1,0
Datasets\Uci_imageseg.csv,0.125,0.699027014511531,0.875,0.883658008658009,1,0.879307692307692,1,16,0.0135776826117434,1,0
Datasets\Uci_imageseg.csv,0.125,2.82976530174632,0.875,0.886904761904762,1,0.880912162162162,1,17,0.0118613495808124,2,0
Datasets\Uci_imageseg.csv,0.160714285714286,17.8348047332523,0.839285714285714,0.850262832405689,1,0.844738613783727,1,18,0.0117222121462623,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,3.17487896840283,0.857142857142857,0.856009070294785,1,0.856575588541174,1,19,0.0126037237781301,1,0
Datasets\Uci_imageseg.csv,0.107142857142857,20.8717311533781,0.892857142857143,0.89625850340136,0.888888888888889,0.894554589896795,0.941176470588235,20,0.0118007062801293,1,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.714288746282839,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040873638706,4,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.589226659283478,0.428571428571429,0.299145299145299,0.205128205128205,0.352348993288591,0.340425531914894,3,0.0818209490969854,1,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.457624554759165,0.571428571428571,0.449564772145417,0.258064516129032,0.503223957587047,0.41025641025641,4,0.061545265140066,1,0
Datasets\Uci_imageseg.csv,0.285714285714286,0.316848040921018,0.714285714285714,0.631746031746032,0.8,0.670485175202156,0.888888888888889,5,0.0431173680839185,0,0
Datasets\Uci_imageseg.csv,0.214285714285714,0.280528976124122,0.785714285714286,0.703061224489796,0.875,0.742093410359346,0.875,6,0.0247524313319432,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.240669523826939,0.892857142857143,0.894274376417234,1,0.893565197688909,1,7,0.0235264349264691,0,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.213204045876795,0.892857142857143,0.894274376417234,1,0.893565197688909,1,8,0.0165458039979793,2,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.170142960722984,0.910714285714286,0.918877551020408,1,0.914777706955621,1,9,0.012236528198575,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.235083696718385,0.892857142857143,0.909786641929499,1,0.901242395839077,0.933333333333333,10,0.0164683421776261,2,0
Datasets\Uci_imageseg.csv,0.0535714285714286,0.220223550729471,0.946428571428571,0.953571428571429,1,0.949986573576799,1,11,0.0148128976235916,2,0
Datasets\Uci_imageseg.csv,0.125,0.244990604399093,0.875,0.889285714285714,1,0.882085020242915,0.933333333333333,12,0.0162823029135169,6,0
Datasets\Uci_imageseg.csv,0.0714285714285714,0.1896098891506,0.928571428571429,0.932539682539683,1,0.930551325007615,1,13,0.0150393155797081,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.203270471783481,0.892857142857143,0.916666666666667,1,0.904605263157895,0.933333333333333,14,0.014064057107799,0,0
Datasets\Uci_imageseg.csv,0.0714285714285714,0.204150468565109,0.928571428571429,0.933163265306122,1,0.930861684218768,1,15,0.0161394641909822,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,2.30547332069782,0.892857142857143,0.909786641929499,1,0.901242395839077,0.933333333333333,16,0.00969137943487864,0,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.209854440298612,0.892857142857143,0.916305916305916,1,0.904429568437545,0.933333333333333,17,0.0136715713590031,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.301409308303122,0.910714285714286,0.917460317460317,1,0.914074855034265,1,18,0.015893561427228,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,1.25857045862703,0.892857142857143,0.914115646258503,1,0.903361344537815,0.933333333333333,19,0.0125427020198054,0,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.517919538397283,0.910714285714286,0.921428571428571,1,0.916040100250627,0.933333333333333,20,0.0128576989042549,6,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.717207540064709,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040824561049,3,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.576074290743591,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816327557219964,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.439659170702237,0.571428571428571,0.464285714285714,0.25,0.512315270935961,0.4,4,0.061390521531483,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.325559948197898,0.696428571428571,0.726010101010101,0.875,0.710911742328177,0.875,5,0.0423549040766825,6,0
Datasets\Uci_imageseg.csv,0.196428571428571,0.253437137745957,0.803571428571429,0.714569160997732,0.875,0.756461378427398,0.875,6,0.0267861426238924,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.639822481871621,0.839285714285714,0.836167800453515,1,0.837723856248641,1,7,0.0223230220023209,6,0
Datasets\Uci_imageseg.csv,0.125,0.23605037434563,0.875,0.871315192743764,1,0.873153708813504,1,8,0.0200255549843487,6,0
Datasets\Uci_imageseg.csv,0.125,1.12064582628051,0.875,0.880385487528345,1,0.87768448248022,1,9,0.0152894892180403,2,0
